Model Name,Accuracy Score,AUC Score
Decision Tree,0.7452830188679245,0.8688107202680067
Random Forest,0.7476415094339622,0.8709771077610273
Gradient Boosting,0.7193396226415094,0.8039977666108319
Neural Network,0.7311320754716981,0.80500279173646
